Numer KRS,Regon,Nip,Nazwa firmy,Forma prawna,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer domu,Numer lokalu,Kod pocztowy,Poczta,Numer kierunkowy 1,Telefon 1,Numer kierunkowy 2,Telefon 2,Kierunowy fax,Fax,Kapitał,Data rozpoczęcia działalności,Data powstania,Adres WWW,Adres Email,Główny PKD,Zatrudnienie,PKD 1,PKD 2,PKD 3,Pierwsze imię,Drugie imię,Nazwisko lub Nazwa ,Nazwisko drugi człon,Funkcja,Data wpisania,Column1
i2820565,120802867,6832027314,CENTRUM KULTURY W GDOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,WIELICKI,GDÓW,GDÓW,UL. KRAKOWSKA,22,,32-420,GDÓW,,122514367,,,,,0,1/1/2009,6/27/2008,www.ck.gdow.pl/kontakt/,sekretariat@ck.gdow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i5130983,520784594,6832118755,GMINNE CENTRUM KULTURY W KŁAJU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,WIELICKI,KŁAJ,KŁAJ,,820A,,32-015,KŁAJ,,122658665,,,,,0,1/1/2022,12/27/2021,www.gcklaj.pl/kontakt/,sekretariat@gcklaj.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820498,351466287,6792451080,GMINNY OŚRODEK KULTURY W MOGILANACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,MOGILANY,MOGILANY,UL. GRODZKA,1,,32-031,MOGILANY,,122701612,,,,122701712,0,8/20/1993,12/29/2000,www.gok.mogilany.pl,gok@mogilany.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820500,357200372,9441940694,CENTRUM KULTURY W ŚWIĄTNIKACH GÓRNYCH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,ŚWIĄTNIKI GÓRNE,ŚWIĄTNIKI GÓRNE,UL. KAZIMIERZA BRUCHNALSKIEGO,4,,32-040,ŚWIĄTNIKI GÓRNE,,122704097,,,,122704132,0,1/4/1999,2/2/2000,,biuro@ckswiatniki.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2714026,351001186,6811796390,MIEJSKO-GMINNY OŚRODEK KULTURY I SPORTU W DOBCZYCACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,MYŚLENICKI,DOBCZYCE,DOBCZYCE,UL. SZKOLNA,43,,32-410,DOBCZYCE,,122711347,,,,,0,12/6/2000,12/6/2000,www.mgokis.dobczyce.pl,biuro@mgokis.dobczyce.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2381923,284888,6811353451,MYŚLENICKI OŚRODEK KULTURY I SPORTU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,MYŚLENICKI,MYŚLENICE,MYŚLENICE,UL. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,20,,32-400,MYŚLENICE,,122721511,,,12,2721511,0,12/15/1975,12/15/1975,,mokis@myslenice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820573,351094532,6811286507,"GMINNY OŚRODEK KULTURY ""KUŹNIA"" W SUŁKOWICACH",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,MYŚLENICKI,SUŁKOWICE,SUŁKOWICE,UL. 1 MAJA,70,,32-440,SUŁKOWICE,,122733459,,,,123725430,0,6/20/1996,4/26/2000,www.ok.sulkowice.pl,gok@sulkowice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i6368161,350574891,6811797567,KLISZCZACKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,MYŚLENICKI,TOKARNIA,TOKARNIA,,619,,32-436,TOKARNIA,,122747005,,,,,0,9/12/1992,9/12/1992,www.domkultury.manifo.com,gokis-tokarnia@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820569,357093640,6811796326,GMINNY OŚRODEK KULTURY I SPORTU W PCIMIU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,MYŚLENICKI,PCIM,PCIM,,563,,32-432,PCIM,,122748039,,,,,0,8/2/1992,8/2/1992,,gokis@pcim.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2164757,350564272,6791974717,CENTRUM KULTURY I SPORTU W SKAWINIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAŁOPOLSKIE,KRAKOWSKI,SKAWINA,SKAWINA,UL. ŻWIRKI I WIGURY,11,,32-050,SKAWINA,,122762601,,,12,2762601,0,8/10/1992,8/10/1992,www.ckis.pl,centrumks@ckis.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
