Nazwa Firmy,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Domu,Numer Lokalu,Kod Pocztowy,Poczta,Telefon ,Adres WWW,Adres Email
"Miejski Ośrodek Kultury - Klub ""Rebus""",Śląskie,M. Żory,M. Żory,Żory,Osiedle Księcia Władysława,1,,44-240,Żory,324346031,,rebus@mok.zory.pl
"Miejski Ośrodek Kultury - Klub ""Wisus""",Śląskie,M. Żory,M. Żory,Żory,Osiedle Sikorskiego,15,,44-240,Żory,324345281,,wisus@mok.zory.pl
Wiejski Dom Kultury Im. Ligoty Tworkowskiej W Grabówce,Śląskie,Wodzisławski,Lubomia,Grabówka,Ul. Bordynowska,,,44-360,Lubomia,737268995,www.goksirlubomia.pl/,
Miejski Ośrodek Kultury W Orzeszu,Śląskie,Mikołowski,Orzesze,Orzesze,Ul. Rynek,1,,43-180,Orzesze,322215329,www.mok-orzesze.pl,adm@mok-orzesze.pl
"Miejski Ośrodek Kultury ""Amfiteatr""",Mazowieckie,M. Radom,M. Radom,Radom,Ul. Parkowa,1,,26-600,Radom,483642968,www.amfiteatr.radom.pl,amfiteatr.radom@wp.pl
Bieszczadzki Dom Kultury,Podkarpackie,Leski,Lesko,Lesko,Ul. Józefa Piłsudskiego,1,,38-600,Lesko,134696649,,bdk_lesko@poczta.onet.pl
Gminny Ośrodek Kultury W Tworogu,Śląskie,Tarnogórski,Tworóg,Tworóg,Ul. Zamkowa,1,,42-690,Tworóg,322857492,,bibliotekatworog@poczta.onet.pl
Miejsko-Gminny Ośrodek Kultury I Biblioteka Samorządowa W Mogielnicy,Mazowieckie,Grójecki,Mogielnica,Mogielnica,Ul. Rynek,1,45,05-640,Mogielnica,486635149,,bip@mogielnica.pl
Centrum Kultury I Biblioteka Publiczna W Gniewie,Pomorskie,Tczewski,Gniew,Gniew,Plac Grunwaldzki,16,17,83-140,Gniew,507125558,www.ckibp.gniew.pl,biuro@ckibp.gniew.pl
Centrum Kultury Promocji I Turystyki W Poniatowej,Lubelskie,Opolski,Poniatowa,Poniatowa,Ul. Fabryczna,1,,24-320,Poniatowa,818204055,,biuro@ckpit.poniatowa.pl
Małopolskie Centrum Nauki Cogiteon,Małopolskie,M. Kraków,Kraków-Nowa Huta,Kraków,Ul. Stefana Steca,1,,31-866,Kraków,126188031,www.mcn.malopolska.pl,biuro@cogiteon.pl
"Ośrodek Promocji Kultury ""Gaude Mater""",Śląskie,M. Częstochowa,M. Częstochowa,Częstochowa,Ul. Gen. Jana Henryka Dąbrowskiego,1,,42-200,Częstochowa,343243638,www.gaudemater.pl,biuro@gaudemater.pl
"Gminny Ośrodek Kultury, Bibliotek I Sportu W Łagiewnikach",Dolnośląskie,Dzierżoniowski,Łagiewniki,Łagiewniki,Ul. Wrocławska,1,,58-210,Łagiewniki,746469381,www.gokbis.pl,biuro@gokbis.pl
Gminny Ośrodek Kultury I Sportu,Mazowieckie,Otwocki,Celestynów,Celestynów,Ul. Regucka,1,,05-430,Celestynów,227897102,www.gokcelestynow.pl/kontakt/,biuro@gokcelestynow.pl
Gminny Ośrodek Kultury I Sportu,Kujawsko-Pomorskie,Toruński,Wielka Nieszawka,Mała Nieszawka,Ul. Leśna,1,,87-103,Toruń,566200302,www.gokisnieszawka.pl,biuro@gokisnieszawka.pl
"Gminny Ośrodek Kultury, Sportu I Rekreacji",Zachodniopomorskie,Policki,Kołbaskowo,Przecław,Ul. Rekreacyjna,1,,72-005,Przecław,882783416,www.goksirprzeclaw.pl,biuro@goksirprzeclaw.pl
Gminny Ośrodek Kultury W Zawoni,Dolnośląskie,Trzebnicki,Zawonia,Zawonia,Ul. Szkolna,1,,55-106,Zawonia,713128118,www.gokib.zawonia.pl,biuro@gokzawonia.pl
Karliński Ośrodek Kultury,Zachodniopomorskie,Białogardzki,Karlino,Karlino,Ul. Parkowa,1,,78-230,Karlino,943117784,www.kokkarlino.pl,biuro@kokkarlino.pl
Ośrodek Kultury Kraków-Nowa Huta,Małopolskie,M. Kraków,Kraków-Nowa Huta,Kraków,Osiedle Zgody,1,,31-949,Kraków,126442432,www.krakownh.pl,biuro@krakownh.pl
Kościerski Dom Kultury Im.Józefa Wybickiego,Pomorskie,Kościerski,Kościerzyna,Kościerzyna,Ul. Długa,31,,83-400,Kościerzyna,508635021,www.kdkkoscierzyna.pl/,kdk@koscierzyna.gda.pl
Miejsko-Gminny Ośrodek Kultury W Lipianach,Zachodniopomorskie,Pyrzycki,Lipiany,Lipiany,Pl. Huberta Dzikowskiego,1,,74-240,Lipiany,915641091,www.mgoklipiany.pl,biuro@mgoklipiany.pl
Gminne Centrum Kultury,Lubelskie,Bialski,Terespol,Kobylany,Pl. Ryszarda Kaczorowskiego,1,,21-540,Małaszewicze,834112063,www.gck.gminaterespol,biurogck@gminaterespol.pl
Białowieski Ośrodek Kultury W Białowieży,Podlaskie,Hajnowski,Białowieża,Białowieża,Ul. Sportowa,1,,17-230,Białowieża,856812460,,bokbiałowieza@wp.pl
Bogatyński Ośrodek Kultury,Dolnośląskie,Zgorzelecki,Bogatynia,Bogatynia,Ul. Żołnierzy Ii Awp,1,,59-920,Bogatynia,757732522,www.bok.art.pl,bokbogatynia@o2.pl
Biblioteka I Ośrodek Kultury W Bielawach,Łódzkie,Łowicki,Bielawy,Bielawy,Ul. Podrzeczna,1,6,99-423,Bielawy,468382531,,bpbielawy@wp.pl
Centrum Kultury Sportu I Rekreacji W Tłuszczu,Mazowieckie,Wołomiński,Tłuszcz,Tłuszcz,Ul. Szkolna,1,,05-240,Tłuszcz,297573134,,centrum@cktluszcz.pl
"Gminny Ośrodek Kultury, Sportu I Rekreacji W Trąbkach Wielkich",Pomorskie,Gdański,Trąbki Wielkie,Trąbki Wielkie,Ul. Sportowa,4,,83-034,Trąbki Wielkie,509166567,www.goksir-trabkiwielkie.pl,goksir@goksir-trabkiwielkie.pl
Wadowickie Centrum Kultury Im. Marcina Wadowity,Małopolskie,Wadowicki,Wadowice,Wadowice,Ul. Teatralna,1,,34-100,Wadowice,338233156,www.wck.wadowice.pl,centrum@wck.wadowice.pl
Centrum Kultury Oraz Biblioteka Publiczna Gminy I Miasta Nowe Skalmierzyce,Wielkopolskie,Ostrowski,Nowe Skalmierzyce,Nowe Skalmierzyce,Ul. Mostowa,1,,63-460,Nowe Skalmierzyce,627621340,www.ckbp.pl/,ck@noweskalmierzyce.pl
Centrum Kultury Im. Józefa Mehoffera W Ropczycach,Podkarpackie,Ropczycko-Sędziszowski,Ropczyce,Ropczyce,Ul. Władysława Bursztyna,1,,39-100,Ropczyce,172218228,,ck@ropczyce.info.pl
Centrum Kulturalno-Biblioteczne W Gietrzwałdzie,Warmińsko-Mazurskie,Olsztyński,Gietrzwałd,Gietrzwałd,Ul. Kościelna,1,,11-036,Gietrzwałd,895123290,,ckb@gietrzwald.pl
Centrum Kultury I Rekreacji W Supraślu,Podlaskie,Białostocki,Supraśl,Supraśl,Ul. Cieliczańska,1,,16-030,Supraśl,857183510,www.ckirsuprasl.com,ckirsuprasl@gmail.com
Centrum Kultury Śląskiej W Świętochłowicach,Śląskie,M. Świętochłowice,M. Świętochłowice,Świętochłowice,Ul. Juliusza Krauzego,1,,41-603,Świętochłowice,323452160,,cks@wp.pl
Centrum Kultury Gminy Ciężkowice,Małopolskie,Tarnowski,Ciężkowice,Ciężkowice,Ul. Rynek,1,,33-190,Ciężkowice,146510032,www.ciezkowice.pl,ckultury@ciezkowice.pl
Dom Kultury W Rawiczu,Wielkopolskie,Rawicki,Rawicz,Rawicz,Ul. Targowa,1,,63-900,Rawicz,655461016,www.dk.rawicz.pl,dk@rawicz.pl
"Dom Kultury ""Zacisze"" W Dzielnicy Targówek M.St. Warszawy",Mazowieckie,M. St. Warszawa,Targówek,Warszawa,Ul. Blokowa,1,,03-641,Warszawa,226798469,www.zacisze.waw.pl,dk@zacisze.waw.pl
